site,plot_name,plot_id,depth,reference,replicate,redox_id,treatment_name,transect,warming_level,co2_level,treatment,logger,design_link
C3,C3_tr3_T0,330,20cm,ref1,4,330_20cm_ref1_4,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref1,5,330_20cm_ref1_5,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref1,6,330_20cm_ref1_6,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref2,1,330_20cm_ref2_1,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref2,2,330_20cm_ref2_2,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref2,3,330_20cm_ref2_3,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref2,4,330_20cm_ref2_4,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref2,5,330_20cm_ref2_5,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3_tr3_T0,330,20cm,ref2,6,330_20cm_ref2_6,T0,tr3,amb,amb,amb_x_amb,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref1,1,630_5cm_ref1_1,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref1,2,630_5cm_ref1_2,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref1,3,630_5cm_ref1_3,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref1,4,630_5cm_ref1_4,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref1,5,630_5cm_ref1_5,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref1,6,630_5cm_ref1_6,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref2,1,630_5cm_ref2_1,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref2,2,630_5cm_ref2_2,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref2,3,630_5cm_ref2_3,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref2,4,630_5cm_ref2_4,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref2,5,630_5cm_ref2_5,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,5cm,ref2,6,630_5cm_ref2_6,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref1,1,630_20cm_ref1_1,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref1,2,630_20cm_ref1_2,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref1,3,630_20cm_ref1_3,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref1,4,630_20cm_ref1_4,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref1,5,630_20cm_ref1_5,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref1,6,630_20cm_ref1_6,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref2,1,630_20cm_ref2_1,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref2,2,630_20cm_ref2_2,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref2,3,630_20cm_ref2_3,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref2,4,630_20cm_ref2_4,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref2,5,630_20cm_ref2_5,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3e_tr3_T0,630,20cm,ref2,6,630_20cm_ref2_6,eT0,tr3,amb,elev,amb_x_elev,redox3,logger
C3,C3_tr3_T3,333,5cm,ref1,1,333_5cm_ref1_1,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref1,2,333_5cm_ref1_2,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref1,3,333_5cm_ref1_3,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref1,4,333_5cm_ref1_4,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref1,5,333_5cm_ref1_5,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref1,6,333_5cm_ref1_6,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref2,1,333_5cm_ref2_1,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref2,2,333_5cm_ref2_2,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref2,3,333_5cm_ref2_3,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref2,4,333_5cm_ref2_4,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref2,5,333_5cm_ref2_5,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,5cm,ref2,6,333_5cm_ref2_6,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref1,1,333_20cm_ref1_1,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref1,2,333_20cm_ref1_2,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref1,3,333_20cm_ref1_3,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref1,4,333_20cm_ref1_4,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref1,5,333_20cm_ref1_5,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref1,6,333_20cm_ref1_6,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref2,1,333_20cm_ref2_1,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref2,2,333_20cm_ref2_2,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref2,3,333_20cm_ref2_3,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref2,4,333_20cm_ref2_4,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref2,5,333_20cm_ref2_5,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3_tr3_T3,333,20cm,ref2,6,333_20cm_ref2_6,T3,tr3,5.1,amb,5.1_x_amb,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref1,1,633_5cm_ref1_1,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref1,2,633_5cm_ref1_2,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref1,3,633_5cm_ref1_3,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref1,4,633_5cm_ref1_4,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref1,5,633_5cm_ref1_5,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref1,6,633_5cm_ref1_6,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref2,1,633_5cm_ref2_1,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref2,2,633_5cm_ref2_2,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref2,3,633_5cm_ref2_3,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref2,4,633_5cm_ref2_4,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref2,5,633_5cm_ref2_5,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,5cm,ref2,6,633_5cm_ref2_6,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref1,1,633_20cm_ref1_1,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref1,2,633_20cm_ref1_2,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref1,3,633_20cm_ref1_3,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref1,4,633_20cm_ref1_4,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref1,5,633_20cm_ref1_5,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref1,6,633_20cm_ref1_6,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref2,1,633_20cm_ref2_1,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref2,2,633_20cm_ref2_2,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref2,3,633_20cm_ref2_3,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref2,4,633_20cm_ref2_4,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref2,5,633_20cm_ref2_5,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3e_tr3_T3,633,20cm,ref2,6,633_20cm_ref2_6,eT3,tr3,5.1,elev,5.1_x_elev,redox3,logger
C3,C3_tr1_T0,310,5cm,ref1,1,310_5cm_ref1_1,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref1_1
C3,C3_tr1_T0,310,5cm,ref1,2,310_5cm_ref1_2,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref1_2
C3,C3_tr1_T0,310,5cm,ref1,3,310_5cm_ref1_3,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref1_3
C3,C3_tr1_T0,310,5cm,ref1,4,310_5cm_ref1_4,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref1_4
C3,C3_tr1_T0,310,5cm,ref1,5,310_5cm_ref1_5,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref1_5
C3,C3_tr1_T0,310,5cm,ref1,6,310_5cm_ref1_6,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref1_6
C3,C3_tr1_T0,310,5cm,ref2,1,310_5cm_ref2_1,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref2_1
C3,C3_tr1_T0,310,5cm,ref2,2,310_5cm_ref2_2,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref2_2
C3,C3_tr1_T0,310,5cm,ref2,3,310_5cm_ref2_3,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref2_3
C3,C3_tr1_T0,310,5cm,ref2,4,310_5cm_ref2_4,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref2_4
C3,C3_tr1_T0,310,5cm,ref2,5,310_5cm_ref2_5,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref2_5
C3,C3_tr1_T0,310,5cm,ref2,6,310_5cm_ref2_6,T0,tr1,amb,amb,amb_x_amb,redox1,310_5cm_ref2_6
C3,C3_tr1_T0,310,20cm,ref1,1,310_20cm_ref1_1,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref1_1
C3,C3_tr1_T0,310,20cm,ref1,2,310_20cm_ref1_2,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref1_2
C3,C3_tr1_T0,310,20cm,ref1,3,310_20cm_ref1_3,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref1_3
C3,C3_tr1_T0,310,20cm,ref1,4,310_20cm_ref1_4,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref1_4
C3,C3_tr1_T0,310,20cm,ref1,5,310_20cm_ref1_5,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref1_5
C3,C3_tr1_T0,310,20cm,ref1,6,310_20cm_ref1_6,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref1_6
C3,C3_tr1_T0,310,20cm,ref2,1,310_20cm_ref2_1,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref2_1
C3,C3_tr1_T0,310,20cm,ref2,2,310_20cm_ref2_2,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref2_2
C3,C3_tr1_T0,310,20cm,ref2,3,310_20cm_ref2_3,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref2_3
C3,C3_tr1_T0,310,20cm,ref2,4,310_20cm_ref2_4,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref2_4
C3,C3_tr1_T0,310,20cm,ref2,5,310_20cm_ref2_5,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref2_5
C3,C3_tr1_T0,310,20cm,ref2,6,310_20cm_ref2_6,T0,tr1,amb,amb,amb_x_amb,redox1,310_20cm_ref2_6
C3,C3e_tr1_T0,610,5cm,ref1,1,610_5cm_ref1_1,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref1_1
C3,C3e_tr1_T0,610,5cm,ref1,2,610_5cm_ref1_2,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref1_2
C3,C3e_tr1_T0,610,5cm,ref1,3,610_5cm_ref1_3,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref1_3
C3,C3e_tr1_T0,610,5cm,ref1,4,610_5cm_ref1_4,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref1_4
C3,C3e_tr1_T0,610,5cm,ref1,5,610_5cm_ref1_5,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref1_5
C3,C3e_tr1_T0,610,5cm,ref1,6,610_5cm_ref1_6,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref1_6
C3,C3e_tr1_T0,610,5cm,ref2,1,610_5cm_ref2_1,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref2_1
C3,C3e_tr1_T0,610,5cm,ref2,2,610_5cm_ref2_2,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref2_2
C3,C3e_tr1_T0,610,5cm,ref2,3,610_5cm_ref2_3,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref2_3
C3,C3e_tr1_T0,610,5cm,ref2,4,610_5cm_ref2_4,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref2_4
C3,C3e_tr1_T0,610,5cm,ref2,5,610_5cm_ref2_5,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref2_5
C3,C3e_tr1_T0,610,5cm,ref2,6,610_5cm_ref2_6,eT0,tr1,amb,elev,amb_x_elev,redox1,610_5cm_ref2_6
C3,C3e_tr1_T0,610,20cm,ref1,1,610_20cm_ref1_1,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref1_1
C3,C3e_tr1_T0,610,20cm,ref1,2,610_20cm_ref1_2,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref1_2
C3,C3e_tr1_T0,610,20cm,ref1,3,610_20cm_ref1_3,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref1_3
C3,C3e_tr1_T0,610,20cm,ref1,4,610_20cm_ref1_4,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref1_4
C3,C3e_tr1_T0,610,20cm,ref1,5,610_20cm_ref1_5,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref1_5
C3,C3e_tr1_T0,610,20cm,ref1,6,610_20cm_ref1_6,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref1_6
C3,C3e_tr1_T0,610,20cm,ref2,1,610_20cm_ref2_1,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref2_1
C3,C3e_tr1_T0,610,20cm,ref2,2,610_20cm_ref2_2,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref2_2
C3,C3e_tr1_T0,610,20cm,ref2,3,610_20cm_ref2_3,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref2_3
C3,C3e_tr1_T0,610,20cm,ref2,4,610_20cm_ref2_4,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref2_4
C3,C3e_tr1_T0,610,20cm,ref2,5,610_20cm_ref2_5,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref2_5
C3,C3e_tr1_T0,610,20cm,ref2,6,610_20cm_ref2_6,eT0,tr1,amb,elev,amb_x_elev,redox1,610_20cm_ref2_6
C3,C3_tr1_T3,313,5cm,ref1,1,313_5cm_ref1_1,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref1_1
C3,C3_tr1_T3,313,5cm,ref1,2,313_5cm_ref1_2,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref1_2
C3,C3_tr1_T3,313,5cm,ref1,3,313_5cm_ref1_3,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref1_3
C3,C3_tr1_T3,313,5cm,ref1,4,313_5cm_ref1_4,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref1_4
C3,C3_tr1_T3,313,5cm,ref1,5,313_5cm_ref1_5,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref1_5
C3,C3_tr1_T3,313,5cm,ref1,6,313_5cm_ref1_6,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref1_6
C3,C3_tr1_T3,313,5cm,ref2,1,313_5cm_ref2_1,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref2_1
C3,C3_tr1_T3,313,5cm,ref2,2,313_5cm_ref2_2,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref2_2
C3,C3_tr1_T3,313,5cm,ref2,3,313_5cm_ref2_3,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref2_3
C3,C3_tr1_T3,313,5cm,ref2,4,313_5cm_ref2_4,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref2_4
C3,C3_tr1_T3,313,5cm,ref2,5,313_5cm_ref2_5,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref2_5
C3,C3_tr1_T3,313,5cm,ref2,6,313_5cm_ref2_6,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_5cm_ref2_6
C3,C3_tr1_T3,313,20cm,ref1,1,313_20cm_ref1_1,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref1_1
C3,C3_tr1_T3,313,20cm,ref1,2,313_20cm_ref1_2,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref1_2
C3,C3_tr1_T3,313,20cm,ref1,3,313_20cm_ref1_3,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref1_3
C3,C3_tr1_T3,313,20cm,ref1,4,313_20cm_ref1_4,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref1_4
C3,C3_tr1_T3,313,20cm,ref1,5,313_20cm_ref1_5,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref1_5
C3,C3_tr1_T3,313,20cm,ref1,6,313_20cm_ref1_6,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref1_6
C3,C3_tr1_T3,313,20cm,ref2,1,313_20cm_ref2_1,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref2_1
C3,C3_tr1_T3,313,20cm,ref2,2,313_20cm_ref2_2,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref2_2
C3,C3_tr1_T3,313,20cm,ref2,3,313_20cm_ref2_3,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref2_3
C3,C3_tr1_T3,313,20cm,ref2,4,313_20cm_ref2_4,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref2_4
C3,C3_tr1_T3,313,20cm,ref2,5,313_20cm_ref2_5,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref2_5
C3,C3_tr1_T3,313,20cm,ref2,6,313_20cm_ref2_6,T3,tr1,5.1,amb,5.1_x_amb,redox1,313_20cm_ref2_6
C3,C3e_tr1_T3,613,5cm,ref1,1,613_5cm_ref1_1,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref1_1
C3,C3e_tr1_T3,613,5cm,ref1,2,613_5cm_ref1_2,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref1_2
C3,C3e_tr1_T3,613,5cm,ref1,3,613_5cm_ref1_3,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref1_3
C3,C3e_tr1_T3,613,5cm,ref1,4,613_5cm_ref1_4,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref1_4
C3,C3e_tr1_T3,613,5cm,ref1,5,613_5cm_ref1_5,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref1_5
C3,C3e_tr1_T3,613,5cm,ref1,6,613_5cm_ref1_6,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref1_6
C3,C3e_tr1_T3,613,5cm,ref2,1,613_5cm_ref2_1,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref2_1
C3,C3e_tr1_T3,613,5cm,ref2,2,613_5cm_ref2_2,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref2_2
C3,C3e_tr1_T3,613,5cm,ref2,3,613_5cm_ref2_3,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref2_3
C3,C3e_tr1_T3,613,5cm,ref2,4,613_5cm_ref2_4,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref2_4
C3,C3e_tr1_T3,613,5cm,ref2,5,613_5cm_ref2_5,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref2_5
C3,C3e_tr1_T3,613,5cm,ref2,6,613_5cm_ref2_6,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_5cm_ref2_6
C3,C3e_tr1_T3,613,20cm,ref1,1,613_20cm_ref1_1,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref1_1
C3,C3e_tr1_T3,613,20cm,ref1,2,613_20cm_ref1_2,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref1_2
C3,C3e_tr1_T3,613,20cm,ref1,3,613_20cm_ref1_3,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref1_3
C3,C3e_tr1_T3,613,20cm,ref1,4,613_20cm_ref1_4,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref1_4
C3,C3e_tr1_T3,613,20cm,ref1,5,613_20cm_ref1_5,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref1_5
C3,C3e_tr1_T3,613,20cm,ref1,6,613_20cm_ref1_6,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref1_6
C3,C3e_tr1_T3,613,20cm,ref2,1,613_20cm_ref2_1,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref2_1
C3,C3e_tr1_T3,613,20cm,ref2,2,613_20cm_ref2_2,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref2_2
C3,C3e_tr1_T3,613,20cm,ref2,3,613_20cm_ref2_3,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref2_3
C3,C3e_tr1_T3,613,20cm,ref2,4,613_20cm_ref2_4,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref2_4
C3,C3e_tr1_T3,613,20cm,ref2,5,613_20cm_ref2_5,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref2_5
C3,C3e_tr1_T3,613,20cm,ref2,6,613_20cm_ref2_6,eT3,tr1,5.1,elev,5.1_x_elev,redox1,613_20cm_ref2_6
C3,C3_tr2_T0,320,5cm,ref1,1,320_5cm_ref1_1,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref1_1
C3,C3_tr2_T0,320,5cm,ref1,2,320_5cm_ref1_2,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref1_2
C3,C3_tr2_T0,320,5cm,ref1,3,320_5cm_ref1_3,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref1_3
C3,C3_tr2_T0,320,5cm,ref1,4,320_5cm_ref1_4,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref1_4
C3,C3_tr2_T0,320,5cm,ref1,5,320_5cm_ref1_5,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref1_5
C3,C3_tr2_T0,320,5cm,ref1,6,320_5cm_ref1_6,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref1_6
C3,C3_tr2_T0,320,5cm,ref2,1,320_5cm_ref2_1,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref2_1
C3,C3_tr2_T0,320,5cm,ref2,2,320_5cm_ref2_2,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref2_2
C3,C3_tr2_T0,320,5cm,ref2,3,320_5cm_ref2_3,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref2_3
C3,C3_tr2_T0,320,5cm,ref2,4,320_5cm_ref2_4,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref2_4
C3,C3_tr2_T0,320,5cm,ref2,5,320_5cm_ref2_5,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref2_5
C3,C3_tr2_T0,320,5cm,ref2,6,320_5cm_ref2_6,T0,tr2,amb,amb,amb_x_amb,redox2,320_5cm_ref2_6
C3,C3_tr2_T0,320,20cm,ref1,1,320_20cm_ref1_1,T0,tr2,amb,amb,amb_x_amb,redox2,320_20cm_ref1_1
C3,C3_tr2_T0,320,20cm,ref1,2,320_20cm_ref1_2,T0,tr2,amb,amb,amb_x_amb,redox2,320_20cm_ref1_2
C3,C3_tr2_T0,320,20cm,ref1,3,320_20cm_ref1_3,T0,tr2,amb,amb,amb_x_amb,redox2,320_20cm_ref1_3
C3,C3_tr2_T0,320,20cm,ref1,4,320_20cm_ref1_4,T0,tr2,amb,amb,amb_x_amb,redox2,320_20cm_ref1_4
