"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.998,"L1-40",50,"Ok",4083.87030034858,4083.87030034858,"Within_Range"
"2","A05",1.013,"L1-40",50,"Ok",4151.37663249583,4151.37663249583,"Within_Range"
"3","A06",1.089,"L1-40",50,"Ok",4493.40871537521,4493.40871537521,"Within_Range"
"4","A07",0.825,"L4-20",50,"Ok",3305.29726958368,3305.29726958368,"Within_Range"
"5","A08",0.815,"L4-20",50,"Ok",3260.29304815218,3260.29304815218,"Within_Range"
"6","A09",0.842,"L4-20",50,"Ok",3381.80444601723,3381.80444601723,"Within_Range"
"7","A10",0.961,"L5-80",50,"Ok",3917.35468105204,3917.35468105204,"Within_Range"
"8","A11",0.863,"L5-80",50,"Ok",3476.31331102337,3476.31331102337,"Within_Range"
"9","A12",0.923,"L5-80",50,"Ok",3746.33863961235,3746.33863961235,"Within_Range"
"10","B04",1.03,"L1-80",50,"Ok",4227.88380892937,4227.88380892937,"Within_Range"
"11","B05",1.053,"L1-80",50,"Ok",4331.39351822182,4331.39351822182,"Within_Range"
"12","B06",1.095,"L1-80",50,"Ok",4520.4112482341,4520.4112482341,"Within_Range"
"13","B10",0.805,"L6-20",50,"Ok",3215.28882672069,3215.28882672069,"Within_Range"
"14","B11",0.763,"L6-20",50,"Ok",3026.2710967084,3026.2710967084,"Within_Range"
"15","B12",0.74,"L6-20",50,"Ok",2922.76138741595,2922.76138741595,"Within_Range"
"16","C04",0.849,"L2-20",50,"Ok",3413.30740101927,3413.30740101927,"Within_Range"
"17","C05",0.867,"L2-20",50,"Ok",3494.31499959597,3494.31499959597,"Within_Range"
"18","C06",0.721,"L2-20",50,"Ok",2837.25336669611,2837.25336669611,"Within_Range"
"19","C07",0.91,"L4-20 Dup",50,"Ok",3687.83315175141,3687.83315175141,"Within_Range"
"20","C08",0.805,"L4-20 Dup",50,"Ok",3215.28882672069,3215.28882672069,"Within_Range"
"21","C09",0.8,"L4-20 Dup",50,"Ok",3192.78671600494,3192.78671600494,"Within_Range"
"22","C10",0.779,"L6-40",50,"Ok",3098.27785099879,3098.27785099879,"Within_Range"
"23","C11",0.797,"L6-40",50,"Ok",3179.28544957549,3179.28544957549,"Within_Range"
"24","C12",0.869,"L6-40",50,"Ok",3503.31584388227,3503.31584388227,"Within_Range"
"25","D04",1.04,"L2-40",50,"Ok",4272.88803036087,4272.88803036087,"Within_Range"
"26","D05",0.898,"L2-40",50,"Ok",3633.82808603361,3633.82808603361,"Within_Range"
"27","D06",0.793,"L2-40",50,"Ok",3161.28376100289,3161.28376100289,"Within_Range"
"28","D10",1.058,"L1-20 Spike",50,"Ok",4353.89562893756,4353.89562893756,"Within_Range"
"29","D11",0.888,"L1-20 Spike",50,"Ok",3588.82386460211,3588.82386460211,"Within_Range"
"30","D12",0.936,"L1-20 Spike",50,"Ok",3804.8441274733,3804.8441274733,"Within_Range"
"31","E04",0.888,"L2-80",50,"Ok",3588.82386460211,3588.82386460211,"Within_Range"
"32","E05",0.727,"L2-80",50,"Ok",2864.25589955501,2864.25589955501,"Within_Range"
"33","E06",0.809,"L2-80",50,"Ok",3233.29051529329,3233.29051529329,"Within_Range"
"34","E07",0.972,"L4-40",50,"Ok",3966.85932462669,3966.85932462669,"Within_Range"
"35","E08",0.893,"L4-40",50,"Ok",3611.32597531786,3611.32597531786,"Within_Range"
"36","E09",0.814,"L4-40",50,"Ok",3255.79262600903,3255.79262600903,"Within_Range"
"37","E10",0.803,"L4-40 Spike",50,"Ok",3206.28798243439,3206.28798243439,"Within_Range"
"38","E11",0.799,"L4-40 Spike",50,"Ok",3188.28629386179,3188.28629386179,"Within_Range"
"39","E12",0.914,"L4-40 Spike",50,"Ok",3705.83484032401,3705.83484032401,"Within_Range"
"40","F04",0.769,"L3-20",50,"Ok",3053.2736295673,3053.2736295673,"Within_Range"
"41","F05",0.847,"L3-20",50,"Ok",3404.30655673297,3404.30655673297,"Within_Range"
"42","F06",0.78,"L3-20",50,"Ok",3102.77827314194,3102.77827314194,"Within_Range"
"43","F07",0.953,"L4-80",50,"Ok",3881.35130390684,3881.35130390684,"Within_Range"
"44","F08",1.044,"L4-80",50,"Ok",4290.88971893347,4290.88971893347,"Within_Range"
"45","F09",0.956,"L4-80",50,"Ok",3894.85257033629,3894.85257033629,"Within_Range"
"46","G04",1.146,"L3-40",50,"Ok",4749.93277753474,4749.93277753474,"Within_Range"
"47","G05",0.802,"L3-40",50,"Ok",3201.78756029124,3201.78756029124,"Within_Range"
"48","G06",0.864,"L3-40",50,"Ok",3480.81373316652,3480.81373316652,"Within_Range"
"49","G07",0.621,"L5-20",50,"Ok",2387.21115238114,2387.21115238114,"Within_Range"
"50","G08",0.766,"L5-20",50,"Ok",3039.77236313785,3039.77236313785,"Within_Range"
"51","G09",0.67,"L5-20",50,"Ok",2607.73183739547,2607.73183739547,"Within_Range"
"52","G10",0.887,"L6-40 Dup",50,"Ok",3584.32344245896,3584.32344245896,"Within_Range"
"53","G11",0.8,"L6-40 Dup",50,"Ok",3192.78671600494,3192.78671600494,"Within_Range"
"54","G12",0.919,"L6-40 Dup",50,"Ok",3728.33695103975,3728.33695103975,"Within_Range"
"55","H01",0.895,"L1-20",50,"Ok",3620.32681960416,3620.32681960416,"Within_Range"
"56","H02",0.797,"L1-20",50,"Ok",3179.28544957549,3179.28544957549,"Within_Range"
"57","H03",0.787,"L1-20",50,"Ok",3134.28122814399,3134.28122814399,"Within_Range"
"58","H04",0.815,"L3-80",50,"Ok",3260.29304815218,3260.29304815218,"Within_Range"
"59","H05",0.778,"L3-80",50,"Ok",3093.77742885564,3093.77742885564,"Within_Range"
"60","H06",0.879,"L3-80",50,"Ok",3548.32006531377,3548.32006531377,"Within_Range"
