"","IDs","H2S_info"
"1","L18-40","Within_Range"
"2","L18-40","Within_Range"
"3","L18-40","Within_Range"
"4","P1A-20","Within_Range"
"5","P1A-20","Within_Range"
"6","P1A-20","Within_Range"
"7","P3A-40","bdl"
"8","P3A-40","bdl"
"9","P3A-40","bdl"
"10","L18-80","Within_Range"
"11","L18-80","Within_Range"
"12","L18-80","Within_Range"
"13","P4A-20","Within_Range"
"14","P4A-20","Within_Range"
"15","P4A-20","Within_Range"
"16","L19-20","Within_Range"
"17","L19-20","Within_Range"
"18","L19-20","Within_Range"
"19","P1A-20 Dup","Within_Range"
"20","P1A-20 Dup","Within_Range"
"21","P1A-20 Dup","Within_Range"
"22","P4A-40","Within_Range"
"23","P4A-40","Within_Range"
"24","P4A-40","Within_Range"
"25","L19-40","Within_Range"
"26","L19-40","Within_Range"
"27","L19-40","Within_Range"
"28","L18-20 Spike","Within_Range"
"29","L18-20 Spike","Within_Range"
"30","L18-20 Spike","Within_Range"
"31","L19-80","Within_Range"
"32","L19-80","Within_Range"
"33","L19-80","Within_Range"
"34","P1A-40","Within_Range"
"35","P1A-40","Within_Range"
"36","P1A-40","Within_Range"
"37","P1A-40 Spike","Within_Range"
"38","P1A-40 Spike","Within_Range"
"39","P1A-40 Spike","Within_Range"
"40","L20-20","Within_Range"
"41","L20-20","Within_Range"
"42","L20-20","Within_Range"
"43","P2A-20","Within_Range"
"44","P2A-20","Within_Range"
"45","P2A-20","Within_Range"
"46","L20-40","Within_Range"
"47","L20-40","Within_Range"
"48","L20-40","Within_Range"
"49","P2A-40","Within_Range"
"50","P2A-40","Within_Range"
"51","P2A-40","Within_Range"
"52","P4A-40 Dup","Within_Range"
"53","P4A-40 Dup","Within_Range"
"54","P4A-40 Dup","Within_Range"
"55","L18-20","Within_Range"
"56","L18-20","Within_Range"
"57","L18-20","Within_Range"
"58","L20-80","Within_Range"
"59","L20-80","Within_Range"
"60","L20-80","Within_Range"
"61","P3A-20","bdl"
"62","P3A-20","bdl"
"63","P3A-20","bdl"
